"PlayerID","Name","Salary","AVG","OBP","Runs","Hits","Doubles","Triples","HR","RBI","Walks","SO","SB","Errs"
1,"Andre Dawson",3300,0.272,0.302,69,153,21,4,31,104,22,80,4,3
2,"Steve Buchele",2600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Kal Daniels",2500,0.249,0.337,54,115,15,1,17,73,63,116,6,5
4,"Shawon Dunston",2475,0.26,0.292,59,128,22,7,12,50,23,64,21,21
5,"Mark Grace",2313,0.273,0.346,87,169,28,5,8,58,70,53,3,8
6,"Ryne Sandberg",2175,0.291,0.379,104,170,32,2,26,100,87,89,22,4
7,"Luis Salazar",600,0.258,0.37,34,86,14,1,14,38,15,45,0,10
8,"Dwight Smith",460,0.228,0.279,16,38,7,2,3,21,11,32,2,3
9,"Doug Dascenzo",240,0.25,0.327,40,61,11,0,1,18,24,26,14,2
10,"Sammy Sosa",200,0.203,0.24,39,64,10,1,10,33,14,96,13,6
11,"Jose Vizcaino",177,0.262,0.283,7,38,5,0,0,10,5,18,2,7
12,"Rick Wilkins",140,0.222,0.307,21,45,9,0,6,22,19,56,3,3
13,"Derrick May",117,0.227,0.28,4,5,2,0,1,3,2,1,0,0
14,"Rey Sanchez",115,0.261,0.37,1,6,0,0,0,2,4,3,0,0
15,"Ivan Calderon",2600,0.3,0.368,69,141,22,3,19,75,53,64,31,7
16,"Tim Wallach",1907,0.225,0.292,60,130,22,1,13,73,50,100,2,14
17,"Spike Owen",1190,0.255,0.321,39,108,22,8,3,26,42,61,2,8
18,"Larry Walker",990,0.29,0.349,59,141,30,2,16,64,42,102,14,6
19,"Gary Carter",925,0.246,0.323,22,81,14,0,6,26,22,26,2,5
20,"Tom Foley",365,0.208,0.265,12,35,11,1,0,15,14,30,2,6
21,"Delino DeShields",302,0.238,0.347,83,134,15,4,10,51,95,151,56,27
22,"Marquis Grissom",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Bret Barberie",129,0.353,0.435,16,48,12,2,2,18,20,22,0,5
24,"John VanderWal",111,0.213,0.222,4,13,4,1,1,8,1,18,0,0
25,"Bobby Bonilla",6100,0.302,0.391,102,174,44,6,18,100,90,67,2,15
26,"Eddie Murray",4125,0.26,0.321,69,150,23,1,19,96,55,74,10,7
27,"Vince Coleman",3213,0.255,0.347,45,71,7,5,1,17,39,47,37,3
28,"Howard Johnson",2319,0.259,0.349,108,146,34,4,38,117,78,120,30,31
29,"Kevin Bass",2000,0.223,0.307,43,84,10,4,10,40,36,56,7,4
30,"Dick Schofield",1600,0.225,0.31,44,96,9,3,0,31,50,69,8,15
31,"Dave Magadan",1394,0.258,0.381,58,108,23,0,4,51,83,50,1,5
32,"Daryl Boston",935,0.275,0.351,40,70,16,4,4,21,30,42,15,3
33,"Willie Randolph",850,0.327,0.424,60,141,14,3,0,54,75,38,4,20
34,"Mackey Sasser",775,0.272,0.3,18,62,14,2,5,35,9,19,0,3
35,"Kevin Elster",760,0.241,0.32,33,84,16,2,6,36,40,53,2,14
36,"Dave Gallagher",629,0.293,0.355,32,79,17,0,1,30,24,43,2,0
37,"Chico Walker",275,0.257,0.315,51,96,10,1,6,34,33,57,13,8
38,"Chris Donnels",120,0.225,0.33,7,20,2,0,0,5,14,19,1,2
39,"Darren Daulton",2567,0.196,0.297,36,56,12,0,12,42,41,66,5,8
40,"Dale Murphy",2500,0.252,0.309,66,137,33,1,28,81,48,93,1,5
41,"John Kruk",2350,0.294,0.367,84,158,27,6,21,92,67,100,7,3
42,"Lenny Dykstra",2317,0.297,0.391,48,73,13,5,3,12,37,20,24,4
43,"Mariano Duncan",2000,0.258,0.288,46,86,7,4,12,40,12,57,5,9
44,"Stan Javier",715,0.205,0.268,21,36,5,3,1,11,16,36,7,3
45,"Ricky Jordan",660,0.272,0.304,38,82,21,3,9,49,14,49,0,9
46,"Wally Backman",650,0.243,0.344,20,45,12,0,0,15,30,30,3,4
47,"Jim Lindeman",260,0.337,0.413,13,32,5,0,0,12,13,14,0,0
48,"Steve Lake",250,0.228,0.238,12,36,4,1,1,11,2,26,0,2
49,"Wes Chamberlain",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Dave Hollins",180,0.298,0.378,18,45,10,2,6,21,17,26,1,8
51,"Mickey Morandini",180,0.249,0.313,38,81,11,4,1,20,29,45,13,6
52,"Barry Bonds",5150,0.292,0.41,95,149,28,5,25,116,107,73,43,3
53,"Andy Van Slyke",4450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"Jose Lind",2000,0.265,0.306,53,133,16,6,3,54,30,56,7,9
55,"Mike LaValliere",1850,0.289,0.351,25,97,11,2,3,41,33,27,2,1
